name	x	y	z	impedance
E1	7.05836	-5.56273	-2.13833	5.59737292825456
E2	7.94136	-5.334	0.2371	2.69925073767381
E3	8.61151	-4.257	2.77296	3.63423565825851
E4	8.04222	-2.68245	5.31354	5.51890436874816
E5	6.33091	-1.63804	7.00984	5.14721893378723
E6	3.89585	-0	8.14682	5.66751402262207
E7	1.74142	1.41305	8.45875	6.60309043448583
E8	9.34083	-4.09179	-1.72351	1.60021260538756
E9	9.82549	-3.3556	0.750687	3.20879633132358
E10	9.61435	-2.39622	3.5151	6.20045148835711
E11	8.60698	-0	5.88719	6.51230190537105
E12	6.33091	1.63804	7.00984	7.80082054920926
E13	3.66109	2.67447	7.65927	7.89143558305339
E14	10.609	-1.984	-1.23837	5.19420934286984
E15	10.6507	-1.21058	1.24742	7.44132705125648
E16	10.1982	-0	3.52745	30.4955969961993
E17	10.5352	-0	-2.71023	41.7755615470541
E18	10.6507	1.21058	1.24742	14.837547533619
E19	9.61435	2.39622	3.5151	12.5106844242164
E20	8.04222	2.68245	5.31354	14.3040406699438
E21	5.67672	3.7358	6.23543	7.6377513217837
E22	10.609	1.984	-1.23837	5.42023559665984
E23	9.82549	3.3556	0.750687	7.50071903510154
E24	8.61151	4.257	2.77296	12.5779437341429
E25	6.94583	4.72647	4.29259	8.15103825161708
E26	9.34083	4.09179	-1.72351	3.73996140066224
E27	7.94136	5.334	0.2371	7.4650277989563
E28	6.37719	5.88862	2.05983	9.71396632139293
E29	4.58172	6.08477	4.04119	5.46971956836498
E30	3.01496	5.17735	6.17561	5.72989299142265
E31	0.976844000000001	3.90573	7.58964	6.96651665841284
E32	-1.22344	2.28818	8.35468	6.27609437851214
E33	7.05836	5.56273	-2.13833	6.42375421073753
E34	5.66018	6.28567	-0.325478	5.42217062277673
E35	3.71219	6.93929	1.96627	7.43358080512425
E36	2.25109	6.96513	3.83809	3.66841244815355
E37	0.279191000000001	6.20327	5.88833	4.62271465956444
E38	-1.83783	4.74906	7.20099	6.93384069855124
E39	4.49436	6.56444	-3.36122	4.06625686753192
E40	2.65809	7.18868	-0.876653	6.23841425234318
E41	1.34926	7.57948	1.26836	5.46625570942094
E42	-0.164728000000003	7.53633	2.96011	4.37802855749032
E43	-2.56096	6.50984	5.22143	11.6378057644875
E44	3.02934	6.57111	-6.21266	4.17723154222545
E45	1.52278	7.03162	-3.42515	7.46846245349299
E46	0.234217000000001	7.56327	-1.09244	5.99764497347581
E47	-1.46741	7.60231	1.03584	5.66876787201532
E48	-2.81422	7.31578	2.60868	403.130358954461
E49	0.835981000000001	6.85902	-6.60769	26.2368208227104
E50	-2.88101	7.34918	-1.38637	6.89257962792562
E51	-3.97624	7.07415	0.553357	12.6401845060575
E52	-4.94704	6.50248	3.10276	7.4576058863731
E53	-4.82594	5.07956	5.55724	5.29150988675884
E54	-4.19736	2.51032	7.58563	8.02407421773406
E55	-3.20127	-3.92042505870645e-16	8.28249	6.0733396277024
E56	-3.59608	6.17315	-6.94128	10.5477013761489
E57	-4.02463	6.90343	-3.54669	8.79955451944929
E58	-5.20816	6.47645	-1.59903	4.41908432555159
E59	-6.31619	5.9853	0.766718	5.96998180929766
E60	-6.89084	4.81515	3.53716	8.40996726954411
E61	-6.50084	2.75579	5.69942	9.84492482913196
E62	-5.62431	-6.88779323891245e-16	7.10652	12.6883458268961
E63	-5.02163	5.39665	-6.61401	9.86923725701385
E64	-6.14775	5.86075	-3.4408	7.11945997015206
E65	-7.5274	4.9121	-1.54431	5.59919164626822
E66	-8.41313	3.9387	0.986116	11.1042165205096
E67	-8.20562	2.51978	3.5441	11.4832056322626
E68	-7.23943	-8.86574477715132e-16	5.62067	6.57949059096825
E69	-6.94455	4.02983	-6.30024	8.07087410960076
E70	-8.3235	3.70296	-3.37134	10.167947837997
E71	-9.16834	2.84669000000001	-1.3147	5.49804590540907
E72	-9.32289	1.99322	1.02896	7.61025621020576
E73	-8.85649	-1.08460721301805e-15	2.83601	6.71607436578173
E74	-8.43156	2.17486	-6.40705	6.0416690980594
E75	-9.09985	2.09545	-3.99044	7.28162331679131
E76	-9.70481	-1.18849645028332e-15	-0.946568	25.5027877275158
E77	-9.32289	-1.99322	1.02896	34.8589461777378
E78	-8.20562	-2.51978	3.5441	17.2011556325286
E79	-6.50084	-2.75579	5.69942	6.57513186968764
E80	-4.19736	-2.51032	7.58563	4.92892532841601
E81	-1.22344	-2.28818	8.35468	9.29950754800471
E82	-8.93823	-1.09461747595428e-15	-6.11277	15.9961473646951
E83	-9.10442	-2.09545	-3.65547	5.89181133050582
E84	-9.16834	-2.84669000000001	-1.3147	13.3967806871783
E85	-8.41313	-3.9387	0.986116	12.7252315203851
E86	-6.89084	-4.81515	3.53716	13.9129022865871
E87	-4.82594	-5.07956	5.55724	5.32231282212124
E88	-1.83783	-4.74906	7.20099	16.2885210067942
E89	-8.43156	-2.17486	-6.40705	14.4332800872681
E90	-8.3235	-3.70296	-3.37134	8.30382418328872
E91	-7.5274	-4.9121	-1.54431	5.17607373145283
E92	-6.31619	-5.9853	0.766718	7.64750147417116
E93	-4.94704	-6.50248	3.10276	11.5055745105308
E94	-2.56096	-6.50984	5.22143	29.4966622980748
E95	-6.94455	-4.02983	-6.30024	11.6282094882524
E96	-6.14775	-5.86075	-3.4408	13.6265803293075
E97	-5.20816	-6.47645	-1.59903	17.7021277370099
E98	-3.97624	-7.07415	0.553357	17.5415144447978
E99	-2.81422	-7.31578	2.60868	8.55153261070791
E100	-5.02163	-5.39665	-6.61401	13.00099462186
E101	-4.01898	-6.90343	-3.96056	13.9164695572768
E102	-2.88101	-7.34918	-1.38637	6.27998024843923
E103	-1.46741	-7.60231	1.03584	10.7407756988555
E104	-0.553802000000002	-7.53633	2.9548	7.94391173978235
E105	0.279191000000001	-6.20327	5.88833	4.40910681295442
E106	0.976844000000001	-3.90573	7.58964	4.78074824159011
E107	1.74142	-1.41305	8.45875	13.9944622063701
E108	-3.59608	-6.17315	-6.94128	6.45544555387082
E109	0.234217000000001	-7.56327	-1.09244	4.30899317600726
E110	1.34926	-7.57948	1.26836	5.53284223840812
E111	2.25109	-6.96513	3.83809	4.50088997263451
E112	3.01496	-5.17735	6.17561	8.64603225446263
E113	3.66109	-2.67447	7.65927	25.2559799278273
E114	0.835981000000001	-6.85902	-6.60769	9.58833361038693
E115	1.52278	-7.03162	-3.42515	2.71315542577555
E116	2.65809	-7.18868	-0.876653	5.03596699917137
E117	3.71219	-6.93929	1.96627	4.3981397324089
E118	4.58172	-6.08477	4.04119	5.07767406242716
E119	5.67672	-3.7358	6.23543	22.8895872947062
E120	3.02934	-6.57111	-6.21266	13.9329052740289
E121	4.49436	-6.56444	-3.36122	8.28778958877091
E122	5.66018	-6.28567	-0.325478	2.76762482434478
E123	6.37719	-5.88862	2.05983	2.67735102490817
E124	6.94583	-4.72647	4.29259	3.94169055008748
