onset	duration	trial	value	instruction
17525	5	1	1	rest
22448	2	1	2	ready
24439	6	1	3	task
30442	5	1	4	interval
35393	5	2	1	rest
40350	2	2	2	ready
41983	5	2	3	task
47203	3	2	4	interval
49658	4	3	1	rest
54002	2	3	2	ready
55533	5	3	3	task
60459	3	3	4	interval
63177	4	4	1	rest
67438	2	4	2	ready
69444	6	4	3	task
75440	3	4	4	interval
78026	4	5	1	rest
82447	2	5	2	ready
84438	6	5	3	task
90440	3	5	4	interval
93328	4	6	1	rest
97685	2	6	2	ready
99446	6	6	3	task
105441	3	6	4	interval
108059	4	7	1	rest
112444	2	7	2	ready
114441	6	7	3	task
120435	3	7	4	interval
123014	4	8	1	rest
127442	2	8	2	ready
129435	6	8	3	task
135437	3	8	4	interval
137982	5	9	1	rest
142441	2	9	2	ready
144437	6	9	3	task
150437	3	9	4	interval
152954	5	10	1	rest
157450	2	10	2	ready
159441	6	10	3	task
165439	5	10	4	interval
