onset	duration	trial	value	instruction
22412	5	1	1	rest
27368	2	1	2	ready
29355	6	1	3	task
35358	3	1	4	interval
37961	4	2	1	rest
42367	2	2	2	ready
44357	6	2	3	task
50353	3	2	4	interval
52830	5	3	1	rest
57358	2	3	2	ready
59353	6	3	3	task
65354	3	3	4	interval
67872	5	4	1	rest
72355	2	4	2	ready
74351	6	4	3	task
80357	3	4	4	interval
82895	5	5	1	rest
87356	2	5	2	ready
89353	6	5	3	task
95356	3	5	4	interval
97906	5	6	1	rest
102361	2	6	2	ready
104354	6	6	3	task
110353	3	6	4	interval
112860	5	7	1	rest
117361	2	7	2	ready
119357	6	7	3	task
125356	3	7	4	interval
127865	5	8	1	rest
132352	2	8	2	ready
134356	6	8	3	task
140353	3	8	4	interval
142828	5	9	1	rest
147361	2	9	2	ready
149355	6	9	3	task
155356	3	9	4	interval
157856	5	10	1	rest
162360	2	10	2	ready
164355	6	10	3	task
170357	3	10	4	interval
