onset	duration	trial	value	instruction
12089	5	1	1	rest
17026	2	1	2	ready
19022	6	1	3	task
25016	3	1	4	interval
27538	5	2	1	rest
32024	2	2	2	ready
34017	6	2	3	task
40019	3	2	4	interval
42550	5	3	1	rest
47024	2	3	2	ready
49018	6	3	3	task
55017	3	3	4	interval
57573	4	4	1	rest
62016	2	4	2	ready
64013	6	4	3	task
70020	3	4	4	interval
72513	5	5	1	rest
77022	2	5	2	ready
79021	6	5	3	task
85023	3	5	4	interval
87513	5	6	1	rest
92018	2	6	2	ready
94022	6	6	3	task
100021	3	6	4	interval
102567	5	7	1	rest
107020	2	7	2	ready
109019	6	7	3	task
115017	3	7	4	interval
117579	4	8	1	rest
122016	2	8	2	ready
124018	6	8	3	task
130012	3	8	4	interval
132504	5	9	1	rest
137021	2	9	2	ready
139016	6	9	3	task
145019	3	9	4	interval
147501	5	10	1	rest
152020	2	10	2	ready
154019	6	10	3	task
160021	3	10	4	interval
