onset	duration	trial	value	instruction
17642	5	1	1	rest
22566	2	1	2	ready
24560	6	1	3	task
30564	3	1	4	interval
33165	4	2	1	rest
37563	2	2	2	ready
39560	6	2	3	task
45562	3	2	4	interval
48055	5	3	1	rest
52568	2	3	2	ready
54561	6	3	3	task
60558	3	3	4	interval
63122	4	4	1	rest
67562	2	4	2	ready
69559	6	4	3	task
75561	3	4	4	interval
78103	5	5	1	rest
82558	2	5	2	ready
84565	6	5	3	task
90567	3	5	4	interval
93109	5	6	1	rest
97560	2	6	2	ready
99560	6	6	3	task
105559	3	6	4	interval
108113	4	7	1	rest
112561	2	7	2	ready
114563	6	7	3	task
120564	3	7	4	interval
123067	5	8	1	rest
127569	2	8	2	ready
129563	6	8	3	task
135560	3	8	4	interval
138107	5	9	1	rest
142557	2	9	2	ready
144565	6	9	3	task
150557	3	9	4	interval
153112	5	10	1	rest
157563	2	10	2	ready
159561	6	10	3	task
165562	3	10	4	interval
