onset	duration	trial	value	instruction
19371	5	1	1	rest
24309	2	1	2	ready
26307	6	1	3	task
32306	3	1	4	interval
34909	4	2	1	rest
39301	2	2	2	ready
41305	6	2	3	task
47304	3	2	4	interval
49853	5	3	1	rest
54305	2	3	2	ready
56307	6	3	3	task
62304	3	3	4	interval
64862	4	4	1	rest
69306	2	4	2	ready
71302	6	4	3	task
77304	3	4	4	interval
79860	5	5	1	rest
84311	2	5	2	ready
86304	6	5	3	task
92303	3	5	4	interval
94801	5	6	1	rest
99306	2	6	2	ready
101306	6	6	3	task
107306	3	6	4	interval
109867	4	7	1	rest
114304	2	7	2	ready
116306	6	7	3	task
122308	3	7	4	interval
124850	5	8	1	rest
129310	2	8	2	ready
131301	6	8	3	task
137310	3	8	4	interval
139792	5	9	1	rest
144317	2	9	2	ready
146304	6	9	3	task
152304	3	9	4	interval
154846	5	10	1	rest
159301	2	10	2	ready
161302	6	10	3	task
167305	3	10	4	interval
