onset	duration	trial	value	instruction
45007	5	1	1	rest
49950	2	1	2	ready
51938	6	1	3	task
57936	2	1	4	interval
60292	5	2	1	rest
64946	2	2	2	ready
66933	6	2	3	task
72933	2	2	4	interval
75244	5	3	1	rest
79943	2	3	2	ready
81935	6	3	3	task
87938	2	3	4	interval
90243	5	4	1	rest
94947	2	4	2	ready
96936	6	4	3	task
102936	2	4	4	interval
105242	5	5	1	rest
109947	2	5	2	ready
111936	6	5	3	task
117937	2	5	4	interval
120248	5	6	1	rest
124936	2	6	2	ready
126933	6	6	3	task
132940	2	6	4	interval
135249	5	7	1	rest
139946	2	7	2	ready
141935	6	7	3	task
147938	2	7	4	interval
150256	5	8	1	rest
154936	2	8	2	ready
156940	6	8	3	task
162935	2	8	4	interval
165234	5	9	1	rest
169946	2	9	2	ready
171936	6	9	3	task
177935	2	9	4	interval
180243	5	10	1	rest
184933	2	10	2	ready
186935	6	10	3	task
192932	2	10	4	interval
