onset	duration	trial	value	instruction
34244	5	1	1	rest
39194	2	1	2	ready
41188	6	1	3	task
47187	3	1	4	interval
49758	4	2	1	rest
54191	2	2	2	ready
56190	6	2	3	task
62185	3	2	4	interval
64748	4	3	1	rest
69192	2	3	2	ready
71186	6	3	3	task
77187	3	3	4	interval
79690	5	4	1	rest
84189	2	4	2	ready
86187	6	4	3	task
92195	3	4	4	interval
94763	4	5	1	rest
99196	2	5	2	ready
101183	6	5	3	task
107184	3	5	4	interval
109734	5	6	1	rest
114193	2	6	2	ready
116185	6	6	3	task
122186	3	6	4	interval
124736	5	7	1	rest
129192	2	7	2	ready
131186	6	7	3	task
137185	3	7	4	interval
139744	4	8	1	rest
144185	2	8	2	ready
146189	6	8	3	task
152186	3	8	4	interval
154784	4	9	1	rest
159186	2	9	2	ready
161186	6	9	3	task
167182	3	9	4	interval
169682	5	10	1	rest
174187	2	10	2	ready
176183	6	10	3	task
182185	3	10	4	interval
