onset	duration	trial	value	instruction
16680	5	1	1	rest
21615	2	1	2	ready
23603	6	1	3	task
29603	3	1	4	interval
32211	4	2	1	rest
36600	2	2	2	ready
38600	6	2	3	task
44598	3	2	4	interval
47082	5	3	1	rest
51603	2	3	2	ready
53602	6	3	3	task
59604	3	3	4	interval
62147	5	4	1	rest
66607	2	4	2	ready
68606	6	4	3	task
74598	3	4	4	interval
77082	5	5	1	rest
81599	2	5	2	ready
83599	6	5	3	task
89602	3	5	4	interval
92134	5	6	1	rest
96612	2	6	2	ready
98604	6	6	3	task
104603	3	6	4	interval
107150	5	7	1	rest
111608	2	7	2	ready
113601	6	7	3	task
119606	3	7	4	interval
122087	5	8	1	rest
126600	2	8	2	ready
128602	6	8	3	task
134607	3	8	4	interval
137075	5	9	1	rest
141617	2	9	2	ready
143605	6	9	3	task
149604	3	9	4	interval
152109	5	10	1	rest
156608	2	10	2	ready
158610	6	10	3	task
164607	3	10	4	interval
