onset	duration	trial	value	instruction
16625	5	1	1	rest
21572	2	1	2	ready
23567	6	1	3	task
29563	5	1	4	interval
34493	5	2	1	rest
39239	2	2	2	ready
40870	5	2	3	task
45885	2	2	4	interval
48329	4	3	1	rest
52524	2	3	2	ready
54122	5	3	3	task
59570	3	3	4	interval
62346	4	4	1	rest
66602	2	4	2	ready
68564	6	4	3	task
74566	3	4	4	interval
77256	4	5	1	rest
81619	2	5	2	ready
83569	6	5	3	task
89568	3	5	4	interval
92927	5	6	1	rest
97480	2	6	2	ready
99041	6	6	3	task
104569	3	6	4	interval
107417	5	7	1	rest
111925	2	7	2	ready
113565	6	7	3	task
119567	3	7	4	interval
122081	5	8	1	rest
126568	2	8	2	ready
128569	6	8	3	task
134564	3	8	4	interval
137046	5	9	1	rest
141576	2	9	2	ready
143567	6	9	3	task
149568	3	9	4	interval
152128	4	10	1	rest
156573	2	10	2	ready
158566	6	10	3	task
164565	5	10	4	interval
