onset	duration	trial	value	instruction
37981	5	1	1	rest
42913	2	1	2	ready
44914	6	1	3	task
50921	3	1	4	interval
53528	4	2	1	rest
57922	2	2	2	ready
59917	6	2	3	task
65914	3	2	4	interval
68455	5	3	1	rest
72922	2	3	2	ready
74916	6	3	3	task
80912	3	3	4	interval
83409	5	4	1	rest
87921	2	4	2	ready
89920	6	4	3	task
95913	3	4	4	interval
98417	5	5	1	rest
102921	2	5	2	ready
104915	6	5	3	task
110918	3	5	4	interval
113465	5	6	1	rest
117925	2	6	2	ready
119913	6	6	3	task
125910	3	6	4	interval
128465	4	7	1	rest
132911	2	7	2	ready
134909	6	7	3	task
140911	3	7	4	interval
143390	5	8	1	rest
147921	2	8	2	ready
149912	6	8	3	task
155914	3	8	4	interval
159142	5	9	1	rest
163840	2	9	2	ready
165426	6	9	3	task
170918	3	9	4	interval
173824	4	10	1	rest
178098	2	10	2	ready
179914	6	10	3	task
185914	3	10	4	interval
