onset	duration	trial	value	instruction
15023	5	1	1	rest
19970	2	1	2	ready
21956	6	1	3	task
27961	3	1	4	interval
30480	5	2	1	rest
34959	2	2	2	ready
36955	6	2	3	task
42956	3	2	4	interval
46065	4	3	1	rest
50504	2	3	2	ready
52149	6	3	3	task
57959	3	3	4	interval
60965	4	4	1	rest
65161	2	4	2	ready
66956	6	4	3	task
72958	3	4	4	interval
75441	5	5	1	rest
79959	2	5	2	ready
81959	6	5	3	task
87959	3	5	4	interval
90468	5	6	1	rest
94961	2	6	2	ready
96962	6	6	3	task
102959	3	6	4	interval
105496	5	7	1	rest
109969	2	7	2	ready
111956	6	7	3	task
117957	3	7	4	interval
120470	5	8	1	rest
124970	2	8	2	ready
126963	6	8	3	task
132957	3	8	4	interval
135438	5	9	1	rest
139969	2	9	2	ready
141960	6	9	3	task
147961	3	9	4	interval
150435	5	10	1	rest
154956	2	10	2	ready
156958	6	10	3	task
162959	3	10	4	interval
