onset	duration	trial	value	instruction
7151	5	1	1	rest
12095	2	1	2	ready
14086	6	1	3	task
20090	3	1	4	interval
22614	5	2	1	rest
27098	2	2	2	ready
29085	6	2	3	task
35089	3	2	4	interval
37595	5	3	1	rest
42094	2	3	2	ready
44088	6	3	3	task
50092	3	3	4	interval
52624	5	4	1	rest
57093	2	4	2	ready
59090	6	4	3	task
65087	3	4	4	interval
67588	5	5	1	rest
72090	2	5	2	ready
74084	6	5	3	task
80094	3	5	4	interval
82631	5	6	1	rest
87091	2	6	2	ready
89086	6	6	3	task
95090	3	6	4	interval
97636	5	7	1	rest
102091	2	7	2	ready
104088	6	7	3	task
110088	3	7	4	interval
112552	5	8	1	rest
117092	2	8	2	ready
119087	6	8	3	task
125091	3	8	4	interval
127636	5	9	1	rest
132088	2	9	2	ready
134092	6	9	3	task
140084	3	9	4	interval
142619	5	10	1	rest
147089	2	10	2	ready
149090	6	10	3	task
155088	3	10	4	interval
