onset	duration	trial	value	instruction
4776	5	1	1	rest
9710	2	1	2	ready
11715	6	1	3	task
17713	3	1	4	interval
20239	5	2	1	rest
24725	2	2	2	ready
26712	6	2	3	task
32714	3	2	4	interval
35180	5	3	1	rest
39718	2	3	2	ready
41713	6	3	3	task
47709	3	3	4	interval
50175	5	4	1	rest
54722	2	4	2	ready
56709	6	4	3	task
62711	3	4	4	interval
65196	5	5	1	rest
69723	2	5	2	ready
71710	6	5	3	task
77713	3	5	4	interval
80218	5	6	1	rest
84719	2	6	2	ready
86712	6	6	3	task
92713	3	6	4	interval
95196	5	7	1	rest
99718	2	7	2	ready
101714	6	7	3	task
107715	3	7	4	interval
110271	4	8	1	rest
114712	2	8	2	ready
116708	6	8	3	task
122711	3	8	4	interval
125202	5	9	1	rest
129711	2	9	2	ready
131716	6	9	3	task
137713	3	9	4	interval
140170	5	10	1	rest
144718	2	10	2	ready
146711	6	10	3	task
152710	3	10	4	interval
