onset	duration	trial	value	instruction
34036	5	1	1	rest
38996	2	1	2	ready
40985	6	1	3	task
46988	3	1	4	interval
49528	5	2	1	rest
53989	2	2	2	ready
55984	6	2	3	task
61985	3	2	4	interval
64492	5	3	1	rest
68994	2	3	2	ready
70987	6	3	3	task
76987	3	3	4	interval
79498	5	4	1	rest
83986	2	4	2	ready
85986	6	4	3	task
91992	3	4	4	interval
94491	5	5	1	rest
98994	2	5	2	ready
100982	6	5	3	task
106986	3	5	4	interval
109488	5	6	1	rest
113991	2	6	2	ready
115982	6	6	3	task
121984	3	6	4	interval
124514	5	7	1	rest
128990	2	7	2	ready
130984	6	7	3	task
136987	3	7	4	interval
139498	5	8	1	rest
143995	2	8	2	ready
145985	6	8	3	task
151981	3	8	4	interval
154543	5	9	1	rest
158993	2	9	2	ready
160982	6	9	3	task
166983	3	9	4	interval
169481	5	10	1	rest
173985	2	10	2	ready
175986	6	10	3	task
181984	3	10	4	interval
